City_ID,City,Country,Max Temp,Current Description,Lat,Long,Hotel Name
0,Namatanai,PG,87.06,scattered clouds,-3.67,152.43,
2,Tautira,PF,82.4,shower rain,-17.73,-149.15,
4,Saint-Philippe,RE,77.0,clear sky,-21.36,55.77,
5,Atuona,PF,78.78,clear sky,-9.8,-139.03,
8,Bandarbeyla,SO,76.69,clear sky,9.49,50.81,
9,Luanda,AO,75.2,broken clouds,-8.84,13.23,
10,Busselton,AU,75.99,few clouds,-33.65,115.33,
18,Redcliffe,AU,77.0,broken clouds,-27.23,153.1,
19,Rikitea,PF,75.42,overcast clouds,-23.12,-134.97,
20,Harper,LR,77.34,moderate rain,4.38,-7.72,
26,Hilo,US,78.8,broken clouds,19.73,-155.09,
28,Banda Aceh,ID,86.54,overcast clouds,5.56,95.32,
29,Butaritari,KI,81.36,few clouds,3.07,172.79,
39,Hithadhoo,MV,84.49,overcast clouds,-0.6,73.08,
40,Carnarvon,AU,75.2,clear sky,-24.87,113.63,
42,Akyab,MM,84.27,scattered clouds,20.15,92.9,
50,Sao Filipe,CV,81.37,overcast clouds,14.9,-24.5,
51,Porto Novo,BJ,76.89,scattered clouds,6.5,2.6,
52,Bo Rai,TH,89.01,moderate rain,12.57,102.54,
56,Aquiraz,BR,80.6,scattered clouds,-3.9,-38.39,
58,Taitung,TW,84.2,broken clouds,22.76,121.14,
61,Kapaa,US,78.8,scattered clouds,22.08,-159.32,
69,Mahibadhoo,MV,82.47,heavy intensity rain,3.78,72.97,
70,Bairiki,KI,86.0,few clouds,1.33,172.98,
88,Emerald,AU,89.6,scattered clouds,-23.53,148.17,
92,Port Hedland,AU,86.0,few clouds,-20.32,118.57,
101,Praya,CV,75.2,overcast clouds,14.92,-23.51,
102,Qandala,SO,78.98,clear sky,11.47,49.87,
104,Vaini,TO,78.8,few clouds,-21.2,-175.2,
105,Dingle,PH,88.18,few clouds,11.0,122.67,
107,Georgetown,MY,87.8,few clouds,5.41,100.34,
109,Jiwani,PK,76.87,clear sky,25.05,61.74,
112,Chiang Rai,TH,86.0,few clouds,19.92,99.92,
117,Hobyo,SO,79.97,clear sky,5.35,48.53,
122,Sarh,TD,75.2,clear sky,9.14,18.39,
129,Kulhudhuffushi,MV,82.8,clear sky,6.62,73.07,
130,Port Blair,IN,84.09,light rain,11.67,92.75,
131,Axim,GH,77.88,light rain,4.87,-2.24,
134,Sambava,MG,75.51,clear sky,-14.27,50.17,
135,Alice Springs,AU,87.8,"sand,dust whirls",-23.7,133.88,
136,Lorengau,PG,85.82,broken clouds,-2.02,147.27,
142,Manavalakurichi,IN,85.84,light rain,8.13,77.3,
154,Zhuhai,CN,80.6,light rain,22.28,113.57,
157,Turiacu,BR,75.0,scattered clouds,-1.66,-45.37,
160,Kieta,PG,83.55,moderate rain,-6.22,155.63,
161,Porto Velho,BR,75.2,scattered clouds,-8.76,-63.9,
163,Mahebourg,MU,75.99,clear sky,-20.41,57.7,
169,Itaituba,BR,77.05,light rain,-4.28,-55.98,
170,Islamkot,PK,82.45,clear sky,24.7,70.18,
171,Cabedelo,BR,77.0,scattered clouds,-6.98,-34.83,
174,Cayenne,GF,77.0,clear sky,4.93,-52.33,
176,Ballina,AU,75.99,overcast clouds,-28.87,153.57,
185,Victoria,HK,79.0,overcast clouds,22.29,114.16,
186,Bela,IN,81.95,clear sky,25.93,81.98,
188,Geraldton,AU,75.2,clear sky,-28.77,114.6,
196,Cockburn Town,TC,82.72,few clouds,21.46,-71.14,
197,Bengkulu,ID,83.82,broken clouds,-3.8,102.27,
209,Gouyave,GD,78.8,scattered clouds,12.16,-61.73,
211,Umm Lajj,SA,83.62,clear sky,25.02,37.27,
213,Souillac,MU,75.99,clear sky,-20.52,57.52,
216,Batticaloa,LK,84.24,clear sky,7.71,81.69,
217,Thinadhoo,MV,84.43,scattered clouds,0.53,72.93,
225,Bac Lieu,VN,85.73,overcast clouds,9.29,105.72,
233,Marawi,PH,82.99,scattered clouds,8.0,124.29,
238,Aitape,PG,83.23,moderate rain,-3.14,142.35,
239,Makakilo City,US,80.6,broken clouds,21.35,-158.09,
240,Kloulklubed,PW,80.6,light intensity shower rain,7.04,134.26,
250,Muncar,ID,85.91,broken clouds,-8.43,114.33,
251,Mandeville,JM,82.4,scattered clouds,18.04,-77.51,
262,Ahuimanu,US,80.6,scattered clouds,21.44,-157.84,
266,Sungaipenuh,ID,78.66,overcast clouds,-2.08,101.38,
267,Port Maria,JM,75.99,broken clouds,18.37,-76.89,
269,Puerto Ayacucho,VE,75.97,overcast clouds,5.66,-67.62,
270,Kavieng,PG,85.05,broken clouds,-2.57,150.8,
279,Neiafu,TO,78.8,broken clouds,-18.65,-173.98,
280,Pemangkat,ID,85.8,broken clouds,1.17,108.97,
283,Bathsheba,BB,80.6,shower rain,13.22,-59.52,
288,Vaitape,PF,80.6,light rain,-16.52,-151.75,
299,Isangel,VU,78.62,few clouds,-19.55,169.27,
303,Koraput,IN,75.33,few clouds,18.82,82.72,
