City_ID,City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Namatanai,PG,-3.67,152.43,87.06,62,28,1.3,scattered clouds
1,Bluff,NZ,-46.6,168.33,54.0,79,72,11.99,broken clouds
2,Tautira,PF,-17.73,-149.15,82.4,74,75,16.11,shower rain
3,Jamestown,US,42.1,-79.24,41.0,100,90,4.92,overcast clouds
4,Saint-Philippe,RE,-21.36,55.77,77.0,61,0,6.93,clear sky
5,Atuona,PF,-9.8,-139.03,78.78,73,1,18.9,clear sky
6,Albany,US,42.6,-73.97,44.01,87,100,0.45,light rain
7,Turukhansk,RU,65.82,87.98,6.37,86,97,20.04,overcast clouds
8,Bandarbeyla,SO,9.49,50.81,76.69,73,5,4.07,clear sky
9,Luanda,AO,-8.84,13.23,75.2,94,75,3.36,broken clouds
10,Busselton,AU,-33.65,115.33,75.99,32,14,7.83,few clouds
11,Colares,PT,38.8,-9.45,62.01,98,85,8.72,overcast clouds
12,Castro,BR,-24.79,-50.01,56.66,74,0,4.45,clear sky
13,Bozoum,CF,6.32,16.38,67.39,86,56,2.53,broken clouds
14,Moose Factory,CA,51.26,-80.61,32.0,90,75,14.99,broken clouds
15,Lumeje,AO,-11.55,20.78,65.08,88,79,1.86,broken clouds
16,Olafsvik,IS,64.89,-23.71,39.45,71,100,19.75,overcast clouds
17,Kurumkan,RU,54.3,110.3,30.24,86,52,2.39,broken clouds
18,Redcliffe,AU,-27.23,153.1,77.0,65,75,11.41,broken clouds
19,Rikitea,PF,-23.12,-134.97,75.42,84,100,15.5,overcast clouds
20,Harper,LR,4.38,-7.72,77.34,86,85,4.23,moderate rain
21,Port Elizabeth,ZA,-33.92,25.57,60.8,87,0,5.82,clear sky
22,Beloha,MG,-25.17,45.05,74.1,73,90,16.46,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,44.6,48,40,12.75,scattered clouds
24,Belaya Gora,RU,68.53,146.42,6.49,94,38,6.44,scattered clouds
25,Cherskiy,RU,68.75,161.3,14.31,92,100,8.81,overcast clouds
26,Hilo,US,19.73,-155.09,78.8,78,75,3.36,broken clouds
27,Liman,UA,48.99,37.8,44.42,66,0,11.1,clear sky
28,Banda Aceh,ID,5.56,95.32,86.54,59,88,14.09,overcast clouds
29,Butaritari,KI,3.07,172.79,81.36,65,12,3.96,few clouds
30,Nome,US,64.5,-165.41,33.8,86,90,5.82,light snow
31,Oudenaarde,BE,50.86,3.62,51.8,93,85,12.75,light rain
32,Punta Arenas,CL,-53.15,-70.92,41.0,80,40,21.92,scattered clouds
33,Kuytun,RU,54.34,101.5,36.7,79,2,11.61,clear sky
34,Chokurdakh,RU,70.63,147.92,11.79,97,100,5.99,overcast clouds
35,Vostok,RU,46.49,135.88,33.98,100,100,1.9,overcast clouds
36,Zhucheng,CN,35.99,119.4,64.17,30,77,7.61,broken clouds
37,Saskylakh,RU,71.92,114.08,6.98,93,100,14.27,light snow
38,Pisco,PE,-13.7,-76.22,63.0,82,0,8.05,clear sky
39,Hithadhoo,MV,-0.6,73.08,84.49,66,95,10.87,overcast clouds
40,Carnarvon,AU,-24.87,113.63,75.2,64,0,24.16,clear sky
41,Inhambane,MZ,-23.86,35.38,73.81,85,3,8.81,clear sky
