City_ID,City,Country,Date,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed
0,Palana,RU,2020-10-26 23:19:31,59.12,159.97,37.4,79,97,8.5
1,Rikitea,PF,2020-10-26 23:21:32,-23.12,-134.97,74.71,85,100,17.09
2,Vestmannaeyjar,IS,2020-10-26 23:21:32,63.44,-20.27,43.05,75,100,29.24
3,Fairbanks,US,2020-10-26 23:21:07,64.84,-147.72,30.0,86,90,4.18
4,Pimentel,PE,2020-10-26 23:20:02,-6.84,-79.93,64.31,85,97,13.8
5,Atar,MR,2020-10-26 23:20:02,20.52,-13.05,87.82,15,2,6.15
6,Qasigiannguit,GL,2020-10-26 23:21:33,68.82,-51.19,19.4,73,100,5.82
7,Punta Arenas,CL,2020-10-26 23:21:34,-53.15,-70.92,50.0,65,20,23.04
8,Tarakan,ID,2020-10-26 23:20:03,3.3,117.63,78.64,82,99,9.86
9,Hermanus,ZA,2020-10-26 23:19:51,-34.42,19.23,64.0,86,54,5.99
10,Poum,NC,2020-10-26 23:21:09,-20.23,164.02,76.77,73,0,10.13
11,Marsaxlokk,MT,2020-10-26 23:20:04,35.84,14.54,69.01,68,20,5.82
12,Turukhansk,RU,2020-10-26 23:21:35,65.82,87.98,-1.28,88,0,6.76
13,Geraldton,AU,2020-10-26 23:21:35,-28.77,114.6,59.0,93,15,7.47
14,Jamestown,US,2020-10-26 23:19:46,42.1,-79.24,45.0,87,90,5.82
15,New Norfolk,AU,2020-10-26 23:20:05,-42.78,147.06,55.99,57,99,3.0
16,Lompoc,US,2020-10-26 23:20:05,34.64,-120.46,68.0,42,20,11.41
17,Mar Del Plata,AR,2020-10-26 23:20:05,-38.0,-57.56,57.2,67,0,5.82
18,Bredasdorp,ZA,2020-10-26 23:20:06,-34.53,20.04,64.4,88,99,8.05
19,Grindavik,IS,2020-10-26 23:20:06,63.84,-22.43,39.2,80,75,18.34
20,Dole,FR,2020-10-26 23:20:07,47.08,5.5,46.4,93,0,11.41
21,Bulata,PH,2020-10-26 23:20:07,9.86,122.4,81.03,79,100,11.74
22,Coyaima,CO,2020-10-26 23:20:08,3.8,-75.19,80.64,67,12,2.24
23,Hilo,US,2020-10-26 23:20:06,19.73,-155.09,79.0,83,90,5.82
24,Chimbote,PE,2020-10-26 23:15:28,-9.09,-78.58,63.5,84,99,8.61
25,Bara,NG,2020-10-26 23:15:21,10.37,10.73,77.02,34,17,3.4
26,Cape Town,ZA,2020-10-26 23:20:08,-33.93,18.42,64.4,82,0,6.93
27,Bluff,NZ,2020-10-26 23:20:09,-46.6,168.33,55.99,70,56,5.01
28,Tuktoyaktuk,CA,2020-10-26 23:21:39,69.45,-133.04,10.4,78,40,13.87
29,Upernavik,GL,2020-10-26 23:21:39,72.79,-56.15,17.78,82,99,5.35
30,Tiksi,RU,2020-10-26 23:21:40,71.69,128.87,6.37,94,99,6.62
31,Petropavlovsk-Kamchatskiy,RU,2020-10-26 23:21:40,53.05,158.65,39.2,100,99,2.24
32,Qaanaaq,GL,2020-10-26 23:21:40,77.48,-69.36,8.02,75,78,9.15
33,Gat,IL,2020-10-26 23:17:04,31.61,34.76,72.0,100,0,1.01
34,Ambon,ID,2020-10-26 23:21:04,-3.7,128.18,78.8,88,40,4.7
35,Ushuaia,AR,2020-10-26 23:20:23,-54.8,-68.3,51.8,50,20,16.11
36,Xinqing,CN,2020-10-26 23:21:41,48.23,129.5,37.49,79,100,3.09
37,Mpwapwa,TZ,2020-10-26 23:21:41,-6.35,36.48,66.24,82,32,3.8
38,Thompson,CA,2020-10-26 23:21:01,55.74,-97.86,28.4,50,20,4.7
39,Gorontalo,ID,2020-10-26 23:21:42,0.54,123.06,79.83,75,100,1.77
40,Airai,TL,2020-10-26 23:21:42,-8.93,125.41,67.5,83,65,1.77
41,Saint-Pierre,RE,2020-10-26 23:21:42,-21.34,55.48,71.6,78,9,3.36
42,Itoman,JP,2020-10-26 23:21:42,26.12,127.67,73.4,60,20,6.93
43,Mataura,NZ,2020-10-26 23:21:43,-46.19,168.86,55.99,70,87,5.01
44,Middle Island,US,2020-10-26 23:21:43,40.88,-72.94,57.99,93,90,3.36
45,Mackay,AU,2020-10-26 23:21:43,-21.15,149.2,78.01,94,75,4.7
46,Hasaki,JP,2020-10-26 23:21:43,35.73,140.83,61.0,87,75,9.17
47,Vaini,TO,2020-10-26 23:18:51,-21.2,-175.2,75.2,88,75,10.29
48,Boa Vista,BR,2020-10-26 23:18:04,2.82,-60.67,91.4,46,20,3.36
49,Port Macquarie,AU,2020-10-26 23:20:28,-31.43,152.92,73.0,63,100,8.01
50,Filadelfia,US,2020-10-26 23:18:41,39.95,-75.16,63.0,100,75,3.36
51,Ahipara,NZ,2020-10-26 23:21:45,-35.17,173.17,68.52,73,30,6.22
52,Taltal,CL,2020-10-26 23:20:20,-25.4,-70.48,59.14,78,43,5.46
53,Ambilobe,MG,2020-10-26 23:21:45,-13.2,49.05,72.03,72,25,4.05
54,Norman Wells,CA,2020-10-26 23:21:45,65.28,-126.83,26.6,79,90,18.34
55,Kodiak,US,2020-10-26 23:21:46,57.79,-152.41,51.8,64,1,28.86
56,Yellowknife,CA,2020-10-26 23:16:46,62.46,-114.35,23.0,67,75,5.82
57,Gainesville,US,2020-10-26 23:21:46,29.65,-82.32,79.0,83,1,5.82
58,Kuytun,RU,2020-10-26 23:21:46,54.34,101.5,25.45,89,85,4.74
59,Merauke,ID,2020-10-26 23:21:46,-8.47,140.33,81.57,76,88,10.25
60,Hays,US,2020-10-26 23:21:47,30.05,-98.03,50.0,87,90,19.46
61,Bengkulu,ID,2020-10-26 23:21:47,-3.8,102.27,74.39,81,100,3.06
62,Albany,US,2020-10-26 23:19:17,42.6,-73.97,50.0,98,100,3.0
63,Katsuura,JP,2020-10-26 23:21:49,35.13,140.3,62.6,63,75,12.75
